,2018-04-12,2018-04-11,2018-04-10,2018-04-09,2018-04-04,2018-04-03,2018-04-02,2018-03-30,2018-03-29,2018-03-28,2018-03-27,2018-03-26,2018-03-23,2018-03-22,2018-03-21,2018-03-20,2018-03-19,2018-03-16,2018-03-15,2018-03-14
300090.XSHE,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0,12196364999.0
300022.XSHE,1787129786.0,1798536997.0,1775722575.0,1802339401.0,1825153824.0,1825153824.0,1866980266.0,1878387477.0,1851770651.0,1832758632.0,1836561035.0,1798536997.0,1863177862.0,1946830746.0,1935423534.0,1935423534.0,1927818727.0,1931621130.0,1931621130.0,1962040361.0
603829.XSHG,2969600000.0,3065600000.0,2964800000.0,2896000000.0,2816000000.0,2945600000.0,2883200000.0,2832000000.0,2830400000.0,2660800000.0,2694400000.0,2630400000.0,2595200000.0,2788800000.0,2884800000.0,2835200000.0,2668800000.0,2425600000.0,2436800000.0,2579200000.0
603825.XSHG,5709833397.0,5675317997.0,5530682033.0,5711476988.0,5448000000.0,5364800000.0,5456000000.0,5334400000.0,5230400000.0,5164800000.0,5208000000.0,5046400000.0,5062400000.0,5401600000.0,5424000000.0,5179200000.0,5144000000.0,5177600000.0,5128000000.0,5312000000.0
300595.XSHE,8450860282.0,8041867485.0,8143804899.0,7402893936.0,7478725427.0,7646549219.0,7619200157.0,7606768765.0,7298470243.0,7272364320.0,7575690285.0,7211450499.0,6996387418.0,7115728781.0,7185344576.0,7333278141.0,7264905485.0,7077191466.0,7024979619.0,7054814960.0
603968.XSHG,3919881600.0,3946464000.0,3942374400.0,3958732800.0,3987360000.0,3932150400.0,3995539200.0,4009852800.0,3878985600.0,3860582400.0,3827865600.0,3754252800.0,3723580800.0,3936240000.0,3895344000.0,3928060800.0,3897388800.0,3897388800.0,3948508800.0,3956688000.0
600529.XSHG,6374654433.0,6386796632.0,6462685375.0,6568929616.0,6477863124.0,6165201502.0,6277516842.0,5983068518.0,5919321974.0,6037708413.0,6092348308.0,6001281816.0,5888966476.0,6156094852.0,6228948046.0,6204663648.0,6131810455.0,6065028361.0,6034672863.0,6146988203.0
000613.XSHE,4569455000.0,4154381000.0,4500276000.0,4999093000.0,4543968000.0,4682326000.0,4256329000.0,3870383000.0,3648282000.0,3586385000.0,3258695000.0,3134901000.0,3094850000.0,3437104000.0,3480796000.0,3688333000.0,3608231000.0,3681051000.0,3346079000.0,3040235000.0
000811.XSHE,4695459346.0,4734642595.0,4610562306.0,4584440140.0,4584440140.0,4643215014.0,4590970682.0,4623623389.0,4571379057.0,4532195808.0,4571379057.0,4493012559.0,4499543100.0,4754234219.0,4806478551.0,4767295302.0,4819539634.0,4826070176.0,4845661800.0,4943619923.0
600439.XSHG,7199427398.0,7278666379.0,7097548709.0,7018309728.0,7097548709.0,7131508272.0,6939070747.0,6927750893.0,6973030310.0,6814552349.0,6837192058.0,6633434678.0,6542875843.0,6757953077.0,6644754533.0,6520236134.0,6599475115.0,6825872203.0,6848511912.0,6950390602.0
000544.XSHE,9110051019.0,9110051019.0,9188025778.0,9032076260.0,9155536295.0,9343975296.0,9194523675.0,8928109915.0,8915114121.0,8850135156.0,8850135156.0,8427771877.0,8492750843.0,8986590984.0,8986590984.0,9032076260.0,9110051019.0,9025578364.0,9064565743.0,9129544709.0
300711.XSHE,4173030909.0,4082187458.0,4024509076.0,4338856256.0,4103816851.0,4198986180.0,4036044752.0,3935107585.0,3901942515.0,3987018128.0,4188892464.0,3808215145.0,3462144856.0,3580385538.0,3590479255.0,3413118231.0,3291993630.0,3157891393.0,3212685855.0,3431863705.0
000895.XSHE,85458559556.0,86250453544.0,85194594893.0,83742789248.0,84468692070.0,80938164707.0,81829045443.0,84468692070.0,84072745076.0,81796049860.0,83544815751.0,83544815751.0,88230188514.0,88890100171.0,91793711461.0,92552609866.0,92057676124.0,92387631952.0,94103402260.0,94400362505.0
