order_book_id,abbrev_symbol,board_type,de_listed_date,exchange,industry_code,industry_name,listed_date,round_lot,sector_code,sector_code_name,special_type,status,symbol,type
000587.XSHE,JZCH,MainBoard,0000-00-00,XSHE,C41,其他制造业,1996-04-25,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,金洲慈航,CS
000589.XSHE,QLTA,MainBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,1996-03-08,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,黔轮胎A,CS
000590.XSHE,QDGH,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-01-19,100.0,HealthCare,医疗保健,Normal,Active,启迪古汉,CS
000591.XSHE,TYN,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1996-02-08,100.0,Utilities,公用事业,Normal,Active,太阳能,CS
000592.XSHE,PTFZ,MainBoard,0000-00-00,XSHE,A02,林业,1996-03-27,100.0,Materials,原材料,Normal,Active,平潭发展,CS
000593.XSHE,DTRQ,MainBoard,0000-00-00,XSHE,D45,燃气生产和供应业,1996-03-12,100.0,Utilities,公用事业,Normal,Active,大通燃气,CS
000595.XSHE,STBS,MainBoard,0000-00-00,XSHE,C34,通用设备制造业,1996-04-19,100.0,Industrials,工业,StarST,Active,*ST宝实,CS
000596.XSHE,GJGJ,MainBoard,0000-00-00,XSHE,C15,酒、饮料和精制茶制造业,1996-09-27,100.0,ConsumerStaples,必需消费品,Normal,Active,古井贡酒,CS
000597.XSHE,DBZY,MainBoard,0000-00-00,XSHE,C27,医药制造业,1996-05-23,100.0,HealthCare,医疗保健,Normal,Active,东北制药,CS
000598.XSHE,XRHJ,MainBoard,0000-00-00,XSHE,D46,水的生产和供应业,1996-05-29,100.0,Utilities,公用事业,Normal,Active,兴蓉环境,CS
000599.XSHE,QDSX,MainBoard,0000-00-00,XSHE,C29,橡胶和塑料制品业,1996-04-30,100.0,ConsumerDiscretionary,非必须消费品,Normal,Active,青岛双星,CS
000600.XSHE,JTNY,MainBoard,0000-00-00,XSHE,D44,电力、热力生产和供应业,1996-06-06,100.0,Utilities,公用事业,Normal,Active,建投能源,CS
