datetime,order_book_id,symbol,side,last_quantity,last_price,transaction_cost
2012-08-28 14:50:00,600270.XSHG,外运发展,SELL,700,6.46,9.52
2012-08-28 14:50:00,000089.XSHE,深圳机场,SELL,400,3.88,6.55
2012-08-29 14:50:00,601799.XSHG,星宇股份,BUY,800,10.39,5.00
2012-08-30 14:50:00,000089.XSHE,深圳机场,SELL,1700,3.82,11.50
2012-08-30 14:50:00,601799.XSHG,星宇股份,BUY,800,10.26,5.00
2012-08-30 14:50:00,002485.XSHE,希努尔,BUY,300,8.82,5.00
2012-08-31 14:50:00,000089.XSHE,深圳机场,SELL,1000,3.82,8.82
2012-08-31 14:50:00,600270.XSHG,外运发展,SELL,900,6.08,10.47
2012-08-31 14:50:00,600684.XSHG,珠江实业,BUY,2500,5.97,5.00
2012-08-31 14:50:00,000594.XSHE,国恒退,SELL,100,2.11,5.21
2012-09-03 14:50:00,600684.XSHG,珠江实业,SELL,200,6.00,6.20
2012-09-03 14:50:00,000926.XSHE,福星股份,SELL,100,7.55,5.76
2012-09-03 14:50:00,600270.XSHG,外运发展,BUY,300,6.22,5.00
2012-09-04 14:50:00,000089.XSHE,深圳机场,SELL,3300,3.76,17.41
2012-09-04 14:50:00,600684.XSHG,珠江实业,SELL,2300,5.94,18.66
2012-09-04 14:50:00,002485.XSHE,希努尔,BUY,400,8.67,5.00
2012-09-04 14:50:00,600270.XSHG,外运发展,BUY,600,6.13,5.00
2012-09-05 14:50:00,002485.XSHE,希努尔,BUY,1200,8.73,5.00
2012-09-06 14:50:00,002485.XSHE,希努尔,BUY,300,8.93,5.00
2012-09-06 14:50:00,000594.XSHE,国恒退,SELL,100,2.19,5.22
2012-09-11 14:50:00,002485.XSHE,希努尔,SELL,700,9.25,11.48
2012-09-11 14:50:00,601799.XSHG,星宇股份,SELL,100,10.81,6.08
2012-09-11 14:50:00,000594.XSHE,国恒退,BUY,5900,2.27,5.00
2012-09-12 14:50:00,002485.XSHE,希努尔,SELL,500,9.27,9.64
2012-09-12 14:50:00,601799.XSHG,星宇股份,SELL,900,10.93,14.83
2012-09-12 14:50:00,000926.XSHE,福星股份,BUY,1600,8.01,5.00
2012-09-13 14:50:00,002485.XSHE,希努尔,SELL,1000,9.20,14.20
2012-09-13 14:50:00,601799.XSHG,星宇股份,SELL,200,10.79,7.16
2012-09-13 14:50:00,000594.XSHE,国恒退,BUY,100,2.25,5.00
2012-09-13 14:50:00,600270.XSHG,外运发展,BUY,1000,6.54,5.00
2012-09-14 14:50:00,601799.XSHG,星宇股份,BUY,500,10.95,5.00
2012-09-14 14:50:00,000594.XSHE,国恒退,SELL,3700,2.23,13.25
2012-09-14 14:50:00,000926.XSHE,福星股份,SELL,900,7.79,12.01
2012-09-14 14:50:00,600270.XSHG,外运发展,SELL,100,6.39,5.64
2012-09-17 14:50:00,601799.XSHG,星宇股份,SELL,1000,10.70,15.70
2012-09-17 14:50:00,000594.XSHE,国恒退,BUY,3600,2.18,5.00
2012-09-17 14:50:00,000926.XSHE,福星股份,BUY,1000,7.49,5.00
